ac_number,ac_name,part_number,station_name,file_name
06,DARAMDIN (BL),3,"GOVT. SR. SEC. SCHOOL, BURIAKHOP",sikkim_pdfs/06_003.pdf
06,DARAMDIN (BL),4,"GOVT. JR. HIGH SCHOOL ,RUMBUK",sikkim_pdfs/06_004.pdf
06,DARAMDIN (BL),5,"GOVT. PRY SCHOOL, MUNANGAON",sikkim_pdfs/06_005.pdf
06,DARAMDIN (BL),6,"GOVT. SR. SEC SCHOOL, SOMBARIA ROOM NO. II",sikkim_pdfs/06_006.pdf
06,DARAMDIN (BL),7,"GOVT. SR. SEC SCHOOL, SOMBARIA ROOM NO. I",sikkim_pdfs/06_007.pdf
06,DARAMDIN (BL),8,"KRIPASALAYAN GOVT. SEC. SCHOOL, DARAMDIN ROOM NO.I",sikkim_pdfs/06_008.pdf
06,DARAMDIN (BL),9,"KRIPASALAYAN GOVT. SEC. SCHOOL, DARAMDIN ROOM NO.II",sikkim_pdfs/06_009.pdf
06,DARAMDIN (BL),10,"KRIPASALAYAN GOVT. SEC. SCHOOL, DARAMDIN ROOM NO.III",sikkim_pdfs/06_010.pdf
06,DARAMDIN (BL),11,GOVT. PRY SCHOOL SALYANGDANG,sikkim_pdfs/06_011.pdf
06,DARAMDIN (BL),12,"GOVT. JR.HIGH SCHOOL, LUNGCHOK",sikkim_pdfs/06_012.pdf
06,DARAMDIN (BL),13,"GOVT. SEC. SCHOOL, TIKPUR ROOM NO. I",sikkim_pdfs/06_013.pdf
06,DARAMDIN (BL),14,"GOVT. SEC. SCHOOL, TIKPUR ROOM NO. II",sikkim_pdfs/06_014.pdf
06,DARAMDIN (BL),15,GOVT. SEC. SCHOOL OKHREY ROOM NO. I,sikkim_pdfs/06_015.pdf
06,DARAMDIN (BL),16,"GOVT. SEC. SCHOOL OKHREY, ROOM NO. II",sikkim_pdfs/06_016.pdf
06,DARAMDIN (BL),17,"NIMA SHERPA MEMORIAL GOVT SEC.SCHOOL, RIBDI ROOM NO I",sikkim_pdfs/06_017.pdf
06,DARAMDIN (BL),18,"NIMA SHERPA MEMORIAL GOVT SEC.SCHOOL, RIBDI ROOM NO II",sikkim_pdfs/06_018.pdf
07,SORENG CHAKUNG,1,GOVT. SR SEC SCHOOL CHAKUNG,sikkim_pdfs/07_001.pdf
07,SORENG CHAKUNG,2,"GOVT. PRY. SCHOOL, SADHUGAON",sikkim_pdfs/07_002.pdf
07,SORENG CHAKUNG,3,"GOVT. JR. HIGH SCHOOL, MENDOGOAN",sikkim_pdfs/07_003.pdf
07,SORENG CHAKUNG,4,GOVT SEC. SCHOOL CHUMBUNG,sikkim_pdfs/07_004.pdf
07,SORENG CHAKUNG,5,"GOVT. PRY. SCHOOL, SINGREP",sikkim_pdfs/07_005.pdf
07,SORENG CHAKUNG,6,"GOVT. SR. SEC. SCHOOL, SORENG, ROOM NO. I",sikkim_pdfs/07_006.pdf
07,SORENG CHAKUNG,7,"GOVT. SR. SEC. SCHOOL, SORENG, ROOM NO. II",sikkim_pdfs/07_007.pdf
07,SORENG CHAKUNG,8,"GOVT. SR. SEC. SCHOOL, SORENG, ROOM NO. III",sikkim_pdfs/07_008.pdf
07,SORENG CHAKUNG,9,"GOVT. JR. HIGH SCHOOL, MANGSARI",sikkim_pdfs/07_009.pdf
07,SORENG CHAKUNG,10,"B.ED. COLLEGE, SORENG, ROOM NO. I",sikkim_pdfs/07_010.pdf
07,SORENG CHAKUNG,11,"B.ED. COLLEGE, SORENG, ROOM NO. II",sikkim_pdfs/07_011.pdf
07,SORENG CHAKUNG,12,"GOVT. PRY SCHOOL, KARTHOK",sikkim_pdfs/07_012.pdf
07,SORENG CHAKUNG,13,"GOVT. SEC. SCHOOL, PAKKIGOAN ROOM NO. I",sikkim_pdfs/07_013.pdf
07,SORENG CHAKUNG,14,"GOVT. SEC. SCHOOL, PAKKIGOAN ROOM NO. II",sikkim_pdfs/07_014.pdf
07,SORENG CHAKUNG,15,"GOVT. SEC. SCHOOL, TIMBERBONG",sikkim_pdfs/07_015.pdf
07,SORENG CHAKUNG,16,"GOVT. PRY. SCHOOL, LOWER TIMBERBONG",sikkim_pdfs/07_016.pdf
07,SORENG CHAKUNG,17,"GOVT. SR. SEC. SCHOOL, THARPU",sikkim_pdfs/07_017.pdf
07,SORENG CHAKUNG,18,"GOVT.JR. HIGH SCHOOL, CHOTA SAMDONG ROOM NO. I",sikkim_pdfs/07_018.pdf
07,SORENG CHAKUNG,19,"GOVT.JR. HIGH SCHOOL, CHOTA SAMDONG ROOM NO. II",sikkim_pdfs/07_019.pdf
08,SALGHARI ZOOM (SC),1,"GOVT. SEC. SCHOOL, ZOOM ROOM NO. I",sikkim_pdfs/08_001.pdf
08,SALGHARI ZOOM (SC),2,"GOVT. SEC. SCHOOL, ZOOM ROOM NO. II",sikkim_pdfs/08_002.pdf
08,SALGHARI ZOOM (SC),3,NAYA BAZAR JR. HIGH SCHOOL,sikkim_pdfs/08_003.pdf
08,SALGHARI ZOOM (SC),4,"GOVT. JR. HIGH SCHOOL, SAWALIGAON",sikkim_pdfs/08_004.pdf
08,SALGHARI ZOOM (SC),5,"GOVT. SEC. SCHOOL, GELLING",sikkim_pdfs/08_005.pdf
08,SALGHARI ZOOM (SC),6,"GOVT. JR. HIGH SCHOOL, SEGENG",sikkim_pdfs/08_006.pdf
08,SALGHARI ZOOM (SC),7,"GOVT. JR. HIGH SCHOOL, MABONG",sikkim_pdfs/08_007.pdf
08,SALGHARI ZOOM (SC),8,JORETHANG SR. SEC. SCHOOL ROOM NO.I,sikkim_pdfs/08_008.pdf
08,SALGHARI ZOOM (SC),9,JORETHANG SR. SEC. SCHOOL ROOM NO.II,sikkim_pdfs/08_009.pdf
08,SALGHARI ZOOM (SC),10,JORETHANG SR. SEC. SCHOOL ROOM NO.III,sikkim_pdfs/08_010.pdf
08,SALGHARI ZOOM (SC),11,JORETHANG SR. SEC. SCHOOL ROOM NO.IV,sikkim_pdfs/08_011.pdf
08,SALGHARI ZOOM (SC),12,JORETHANG SR. SEC. SCHOOL ROOM NO.V,sikkim_pdfs/08_012.pdf
09,BARFUNG (BL),1,FAMTAM JR. HIGH SCHOOL,sikkim_pdfs/09_001.pdf
09,BARFUNG (BL),2,BORONG SEC. SCHOOL ROOM NO. I,sikkim_pdfs/09_002.pdf
09,BARFUNG (BL),3,BORONG SEC. SCHOOL ROOM NO. II,sikkim_pdfs/09_003.pdf
09,BARFUNG (BL),4,NAMLUNG JR. HIGH SCHOOL,sikkim_pdfs/09_004.pdf
09,BARFUNG (BL),5,RALONG SEC. SCHOOL ROOM NO. I,sikkim_pdfs/09_005.pdf
09,BARFUNG (BL),6,RALONG SEC. SCHOOL ROOM NO.II,sikkim_pdfs/09_006.pdf
09,BARFUNG (BL),7,DEYTHANG JR. HIGH SCHOOL,sikkim_pdfs/09_007.pdf
09,BARFUNG (BL),8,TARNIM PRY. SCHOOL,sikkim_pdfs/09_008.pdf
09,BARFUNG (BL),9,SANGANATH PANCHAYAT GHAR,sikkim_pdfs/09_009.pdf
09,BARFUNG (BL),10,LOWER RAYONG JR. HIGH SCHOOL,sikkim_pdfs/09_010.pdf
09,BARFUNG (BL),11,ZARUNG SEC. SCHOOL,sikkim_pdfs/09_011.pdf
09,BARFUNG (BL),12,BAKHIM PRY. SCHOOL,sikkim_pdfs/09_012.pdf
09,BARFUNG (BL),13,KEWZING SR. SEC. SCHOOL,sikkim_pdfs/09_013.pdf
09,BARFUNG (BL),14,DALEP JR. HIGH SCHOOL,sikkim_pdfs/09_014.pdf
09,BARFUNG (BL),15,LINGZO PRY. SCHOOL,sikkim_pdfs/09_015.pdf
09,BARFUNG (BL),16,LEGSHEP HINGDAM JR. HIGH SCHOOL,sikkim_pdfs/09_016.pdf
09,BARFUNG (BL),17,MANGBRUE PRY. SCHOOL,sikkim_pdfs/09_017.pdf
09,BARFUNG (BL),18,TINGMO SEC. SCHOOL ROOM NO I,sikkim_pdfs/09_018.pdf
09,BARFUNG (BL),19,BERFUNG PRY. SCHOOL ROOM NO.I,sikkim_pdfs/09_019.pdf
09,BARFUNG (BL),20,BERFUNG PRY. SCHOOL ROOM NO.II,sikkim_pdfs/09_020.pdf
10,POKLOK KAMRANG,1,DAMTHANG SEC. SCHOOL,sikkim_pdfs/10_001.pdf
10,POKLOK KAMRANG,2,LOWER JAUBARI PRY SCHOOL,sikkim_pdfs/10_002.pdf
10,POKLOK KAMRANG,3,TINGRITHANG JR. HIGH SCHOOL,sikkim_pdfs/10_003.pdf
10,POKLOK KAMRANG,4,MAMLEY JR. HIGH SCHOOL,sikkim_pdfs/10_004.pdf
10,POKLOK KAMRANG,5,CCCT CHISOPANI,sikkim_pdfs/10_005.pdf
10,POKLOK KAMRANG,6,DENCHONG JR. HIGH SCHOOL,sikkim_pdfs/10_006.pdf
10,POKLOK KAMRANG,7,NANDUGAON SEC. SCHOOL ROOM NO. I,sikkim_pdfs/10_007.pdf
10,POKLOK KAMRANG,8,NANDUGAON SEC. SCHOOL ROOM NO. II,sikkim_pdfs/10_008.pdf
10,POKLOK KAMRANG,9,TINIK CHISOPANI JR. HIGH SCHOOL,sikkim_pdfs/10_009.pdf
10,POKLOK KAMRANG,10,SALGHARI SEC. SCHOOL ROOM NO.I,sikkim_pdfs/10_010.pdf
10,POKLOK KAMRANG,11,SALGHARI SEC. SCHOOL ROOM NO. II,sikkim_pdfs/10_011.pdf
10,POKLOK KAMRANG,12,GOM JR. HIGH SCHOOL ROOM NO.I,sikkim_pdfs/10_012.pdf
10,POKLOK KAMRANG,13,ASSANGTHANG JR. HIGH SCHOOL ROOM NO.I,sikkim_pdfs/10_013.pdf
10,POKLOK KAMRANG,14,ASSANGTHANG JR. HIGH SCHOOLROOM NO.II,sikkim_pdfs/10_014.pdf
10,POKLOK KAMRANG,15,KAMRANG SEC. SCHOOL,sikkim_pdfs/10_015.pdf
10,POKLOK KAMRANG,16,GOM JR. HIGH SCHOOL ROOM NO. II,sikkim_pdfs/10_016.pdf
10,POKLOK KAMRANG,17,PABONG SEC. SCHOOL,sikkim_pdfs/10_017.pdf
10,POKLOK KAMRANG,18,PAKJER PRY. SCHOOL,sikkim_pdfs/10_018.pdf
10,POKLOK KAMRANG,19,OMCHU SEC. SCHOOL,sikkim_pdfs/10_019.pdf
10,POKLOK KAMRANG,20,CHUMLOK JR. HIGH SCHOOL,sikkim_pdfs/10_020.pdf
10,POKLOK KAMRANG,21,NTL WAK SEC. SCHOOL,sikkim_pdfs/10_021.pdf
11,NAMCHI SINGHITHANG,1,SALLEYBONG JR. HIGH SCHOOL,sikkim_pdfs/11_001.pdf
11,NAMCHI SINGHITHANG,2,JNMIH BOOMTAR ROOM I,sikkim_pdfs/11_002.pdf
11,NAMCHI SINGHITHANG,3,KOPCHEY PRY. SCHOOL,sikkim_pdfs/11_003.pdf
11,NAMCHI SINGHITHANG,4,MIKHOLA JR. HIGH SCHOOL,sikkim_pdfs/11_004.pdf
11,NAMCHI SINGHITHANG,5,RONG SEC. SCHOOL,sikkim_pdfs/11_005.pdf
11,NAMCHI SINGHITHANG,6,SINGTAM PALUM PRY. SCHOOL,sikkim_pdfs/11_006.pdf
11,NAMCHI SINGHITHANG,7,MANIRAM SEC. SCHOOL,sikkim_pdfs/11_007.pdf
11,NAMCHI SINGHITHANG,8,PHALIDARA JR. HIGH SCHOOL,sikkim_pdfs/11_008.pdf
11,NAMCHI SINGHITHANG,9,TINZIR JR. HIGH SCHOOL,sikkim_pdfs/11_009.pdf
11,NAMCHI SINGHITHANG,10,SINGHITHANG PRY. SCHOOL,sikkim_pdfs/11_010.pdf
11,NAMCHI SINGHITHANG,11,NAMCHI SR. SEC. SCHOOL ROOM NO I,sikkim_pdfs/11_011.pdf
11,NAMCHI SINGHITHANG,12,NAMCHI SR. SEC. SCHOOL ROOM NO II,sikkim_pdfs/11_012.pdf
11,NAMCHI SINGHITHANG,13,NAMCHI OLD PRY. SCHOOL ROOM I,sikkim_pdfs/11_013.pdf
11,NAMCHI SINGHITHANG,14,NAMCHI NEW SEC. SCHOOL ROOM NO I,sikkim_pdfs/11_014.pdf
11,NAMCHI SINGHITHANG,15,NAMCHI NEW SEC. SCHOOL ROOM NO. II,sikkim_pdfs/11_015.pdf
11,NAMCHI SINGHITHANG,16,JNMIH BOOMTAR ROOM II,sikkim_pdfs/11_016.pdf
11,NAMCHI SINGHITHANG,17,NAMCHI SR. SEC. SCHOOL ROOM NO III,sikkim_pdfs/11_017.pdf
11,NAMCHI SINGHITHANG,18,PURANO NAMCHI PRY. SCHOOL,sikkim_pdfs/11_018.pdf
12,MELLI,1,KITAM SEC. SCHOOL,sikkim_pdfs/12_001.pdf
12,MELLI,2,KARTIKEY JR. HIGH SCHOOL,sikkim_pdfs/12_002.pdf
12,MELLI,3,SUMBUK SEC. SCHOOL,sikkim_pdfs/12_003.pdf
12,MELLI,4,LUNGCHOK JR. HIGH SCHOOL,sikkim_pdfs/12_004.pdf
12,MELLI,5,KAMAREY JR. HIGH SCHOOL,sikkim_pdfs/12_005.pdf
12,MELLI,6,PANCHGHAREY JR. HIGH SCHOOL,sikkim_pdfs/12_006.pdf
12,MELLI,7,TURUK SEC. SCHOOL,sikkim_pdfs/12_007.pdf
12,MELLI,8,RAMABONG PRY. SCHOOL,sikkim_pdfs/12_008.pdf
