district_name,ac_number,ac_name,poll_station_number,filename
Tripura West (GEN),5,Khayerpur (Gen),52,tripura_pdfs/ac0050052.pdf
Tripura West (GEN),5,Khayerpur (Gen),53,tripura_pdfs/ac0050053.pdf
Tripura West (GEN),5,Khayerpur (Gen),54,tripura_pdfs/ac0050054.pdf
Tripura West (GEN),5,Khayerpur (Gen),55,tripura_pdfs/ac0050055.pdf
Tripura West (GEN),6,Agartala (Gen),1,tripura_pdfs/ac0060001.pdf
Tripura West (GEN),6,Agartala (Gen),2,tripura_pdfs/ac0060002.pdf
Tripura West (GEN),6,Agartala (Gen),3,tripura_pdfs/ac0060003.pdf
Tripura West (GEN),6,Agartala (Gen),4,tripura_pdfs/ac0060004.pdf
Tripura West (GEN),6,Agartala (Gen),5,tripura_pdfs/ac0060005.pdf
Tripura West (GEN),6,Agartala (Gen),6,tripura_pdfs/ac0060006.pdf
Tripura West (GEN),6,Agartala (Gen),7,tripura_pdfs/ac0060007.pdf
Tripura West (GEN),6,Agartala (Gen),8,tripura_pdfs/ac0060008.pdf
Tripura West (GEN),6,Agartala (Gen),9,tripura_pdfs/ac0060009.pdf
Tripura West (GEN),6,Agartala (Gen),10,tripura_pdfs/ac0060010.pdf
Tripura West (GEN),6,Agartala (Gen),11,tripura_pdfs/ac0060011.pdf
Tripura West (GEN),6,Agartala (Gen),12,tripura_pdfs/ac0060012.pdf
Tripura West (GEN),6,Agartala (Gen),13,tripura_pdfs/ac0060013.pdf
Tripura West (GEN),6,Agartala (Gen),14,tripura_pdfs/ac0060014.pdf
Tripura West (GEN),6,Agartala (Gen),15,tripura_pdfs/ac0060015.pdf
Tripura West (GEN),6,Agartala (Gen),16,tripura_pdfs/ac0060016.pdf
Tripura West (GEN),6,Agartala (Gen),17,tripura_pdfs/ac0060017.pdf
Tripura West (GEN),6,Agartala (Gen),18,tripura_pdfs/ac0060018.pdf
Tripura West (GEN),6,Agartala (Gen),19,tripura_pdfs/ac0060019.pdf
Tripura West (GEN),6,Agartala (Gen),20,tripura_pdfs/ac0060020.pdf
Tripura West (GEN),6,Agartala (Gen),21,tripura_pdfs/ac0060021.pdf
Tripura West (GEN),6,Agartala (Gen),22,tripura_pdfs/ac0060022.pdf
Tripura West (GEN),6,Agartala (Gen),23,tripura_pdfs/ac0060023.pdf
Tripura West (GEN),6,Agartala (Gen),24,tripura_pdfs/ac0060024.pdf
Tripura West (GEN),6,Agartala (Gen),25,tripura_pdfs/ac0060025.pdf
Tripura West (GEN),6,Agartala (Gen),26,tripura_pdfs/ac0060026.pdf
Tripura West (GEN),6,Agartala (Gen),27,tripura_pdfs/ac0060027.pdf
Tripura West (GEN),6,Agartala (Gen),28,tripura_pdfs/ac0060028.pdf
Tripura West (GEN),6,Agartala (Gen),29,tripura_pdfs/ac0060029.pdf
Tripura West (GEN),6,Agartala (Gen),30,tripura_pdfs/ac0060030.pdf
Tripura West (GEN),6,Agartala (Gen),31,tripura_pdfs/ac0060031.pdf
Tripura West (GEN),6,Agartala (Gen),32,tripura_pdfs/ac0060032.pdf
Tripura West (GEN),6,Agartala (Gen),33,tripura_pdfs/ac0060033.pdf
Tripura West (GEN),6,Agartala (Gen),34,tripura_pdfs/ac0060034.pdf
Tripura West (GEN),6,Agartala (Gen),35,tripura_pdfs/ac0060035.pdf
Tripura West (GEN),6,Agartala (Gen),36,tripura_pdfs/ac0060036.pdf
Tripura West (GEN),6,Agartala (Gen),37,tripura_pdfs/ac0060037.pdf
Tripura West (GEN),6,Agartala (Gen),38,tripura_pdfs/ac0060038.pdf
Tripura West (GEN),6,Agartala (Gen),39,tripura_pdfs/ac0060039.pdf
Tripura West (GEN),6,Agartala (Gen),40,tripura_pdfs/ac0060040.pdf
Tripura West (GEN),6,Agartala (Gen),41,tripura_pdfs/ac0060041.pdf
Tripura West (GEN),6,Agartala (Gen),42,tripura_pdfs/ac0060042.pdf
Tripura West (GEN),6,Agartala (Gen),43,tripura_pdfs/ac0060043.pdf
Tripura West (GEN),6,Agartala (Gen),44,tripura_pdfs/ac0060044.pdf
Tripura West (GEN),6,Agartala (Gen),45,tripura_pdfs/ac0060045.pdf
Tripura West (GEN),6,Agartala (Gen),46,tripura_pdfs/ac0060046.pdf
Tripura West (GEN),6,Agartala (Gen),47,tripura_pdfs/ac0060047.pdf
Tripura West (GEN),6,Agartala (Gen),48,tripura_pdfs/ac0060048.pdf
Tripura West (GEN),6,Agartala (Gen),49,tripura_pdfs/ac0060049.pdf
Tripura West (GEN),6,Agartala (Gen),50,tripura_pdfs/ac0060050.pdf
Tripura West (GEN),6,Agartala (Gen),51,tripura_pdfs/ac0060051.pdf
