district,leg_assembly,polling_station_name,file_name
2 - KOLASIB,5 - Kolasib(ST),5/6 Pangbalkawn,mizoram_pdfs/AC005PART006.pdf
2 - KOLASIB,5 - Kolasib(ST),5/7 Vengthar - I,mizoram_pdfs/AC005PART007.pdf
2 - KOLASIB,5 - Kolasib(ST),5/8 Vengthar - II,mizoram_pdfs/AC005PART008.pdf
2 - KOLASIB,5 - Kolasib(ST),5/9 Vengthar - III,mizoram_pdfs/AC005PART009.pdf
2 - KOLASIB,5 - Kolasib(ST),5/10 New Diakkawn West,mizoram_pdfs/AC005PART010.pdf
2 - KOLASIB,5 - Kolasib(ST),5/11 New Diakkawn East,mizoram_pdfs/AC005PART011.pdf
2 - KOLASIB,5 - Kolasib(ST),5/12 Diakkawn - I,mizoram_pdfs/AC005PART012.pdf
2 - KOLASIB,5 - Kolasib(ST),5/13 Diakkawn - II,mizoram_pdfs/AC005PART013.pdf
2 - KOLASIB,5 - Kolasib(ST),5/14 Salem Veng,mizoram_pdfs/AC005PART014.pdf
2 - KOLASIB,5 - Kolasib(ST),5/15 College Veng,mizoram_pdfs/AC005PART015.pdf
2 - KOLASIB,5 - Kolasib(ST),5/16 Venglai - I,mizoram_pdfs/AC005PART016.pdf
2 - KOLASIB,5 - Kolasib(ST),5/17 Venglai - II,mizoram_pdfs/AC005PART017.pdf
2 - KOLASIB,5 - Kolasib(ST),5/18 Vengalai - III,mizoram_pdfs/AC005PART018.pdf
2 - KOLASIB,5 - Kolasib(ST),5/19 Venglai - IV,mizoram_pdfs/AC005PART019.pdf
2 - KOLASIB,5 - Kolasib(ST),5/20 Venglai - V,mizoram_pdfs/AC005PART020.pdf
2 - KOLASIB,5 - Kolasib(ST),5/21 Tumpui,mizoram_pdfs/AC005PART021.pdf
2 - KOLASIB,5 - Kolasib(ST),5/22 Hmar Veng - I,mizoram_pdfs/AC005PART022.pdf
2 - KOLASIB,5 - Kolasib(ST),5/23 Hmar Veng - II,mizoram_pdfs/AC005PART023.pdf
2 - KOLASIB,5 - Kolasib(ST),5/24 Electrict Veng,mizoram_pdfs/AC005PART024.pdf
2 - KOLASIB,5 - Kolasib(ST),5/25 Saidan,mizoram_pdfs/AC005PART025.pdf
2 - KOLASIB,5 - Kolasib(ST),5/26 Tuitha Veng,mizoram_pdfs/AC005PART026.pdf
2 - KOLASIB,5 - Kolasib(ST),5/Summary,mizoram_pdfs/AC005.pdf
2 - KOLASIB,6 - Serlui(ST),6/1 Vairengte - I,mizoram_pdfs/AC006PART001.pdf
2 - KOLASIB,6 - Serlui(ST),6/2 Vairengte - II,mizoram_pdfs/AC006PART002.pdf
2 - KOLASIB,6 - Serlui(ST),6/3 Vairengte - III,mizoram_pdfs/AC006PART003.pdf
2 - KOLASIB,6 - Serlui(ST),6/4 Vairengte - IV,mizoram_pdfs/AC006PART004.pdf
2 - KOLASIB,6 - Serlui(ST),6/5 Vairengte - V,mizoram_pdfs/AC006PART005.pdf
2 - KOLASIB,6 - Serlui(ST),6/6 Vairengte - VI,mizoram_pdfs/AC006PART006.pdf
2 - KOLASIB,6 - Serlui(ST),6/7 Vairengte - VII,mizoram_pdfs/AC006PART007.pdf
2 - KOLASIB,6 - Serlui(ST),6/8 Vairengte - VIII,mizoram_pdfs/AC006PART008.pdf
2 - KOLASIB,6 - Serlui(ST),6/9 Saihapui - V,mizoram_pdfs/AC006PART009.pdf
2 - KOLASIB,6 - Serlui(ST),6/10 Phainuam,mizoram_pdfs/AC006PART010.pdf
2 - KOLASIB,6 - Serlui(ST),6/11 N.Chhimluang,mizoram_pdfs/AC006PART011.pdf
2 - KOLASIB,6 - Serlui(ST),6/12 Saiphai,mizoram_pdfs/AC006PART012.pdf
2 - KOLASIB,6 - Serlui(ST),6/13 Saipum - I,mizoram_pdfs/AC006PART013.pdf
2 - KOLASIB,6 - Serlui(ST),6/14 Saipum - II,mizoram_pdfs/AC006PART014.pdf
2 - KOLASIB,6 - Serlui(ST),6/15 N.Chawnpui,mizoram_pdfs/AC006PART015.pdf
2 - KOLASIB,6 - Serlui(ST),6/16 Bilkhawthlir - I,mizoram_pdfs/AC006PART016.pdf
2 - KOLASIB,6 - Serlui(ST),6/17 Bilkhawthlir - II,mizoram_pdfs/AC006PART017.pdf
2 - KOLASIB,6 - Serlui(ST),6/18 Bilkhawthlir - III,mizoram_pdfs/AC006PART018.pdf
2 - KOLASIB,6 - Serlui(ST),6/1 Bilkhawthlir - IV,mizoram_pdfs/AC006PART019.pdf
2 - KOLASIB,6 - Serlui(ST),6/20 Phaisen,mizoram_pdfs/AC006PART020.pdf
2 - KOLASIB,6 - Serlui(ST),6/21 Buhchangphai,mizoram_pdfs/AC006PART021.pdf
2 - KOLASIB,6 - Serlui(ST),6/22 Bukvannei,mizoram_pdfs/AC006PART022.pdf
2 - KOLASIB,6 - Serlui(ST),6/23 N.Thinglian,mizoram_pdfs/AC006PART023.pdf
2 - KOLASIB,6 - Serlui(ST),6/24 Saihapui 'K',mizoram_pdfs/AC006PART024.pdf
2 - KOLASIB,6 - Serlui(ST),6/25 Thingthelh,mizoram_pdfs/AC006PART025.pdf
2 - KOLASIB,6 - Serlui(ST),6/26 N.Hlimen,mizoram_pdfs/AC006PART026.pdf
2 - KOLASIB,6 - Serlui(ST),6/27Builum,mizoram_pdfs/AC006PART027.pdf
2 - KOLASIB,6 - Serlui(ST),6/28 Rengtekawn,mizoram_pdfs/AC006PART028.pdf
2 - KOLASIB,6 - Serlui(ST),6/Summary,mizoram_pdfs/AC006.pdf
